Facility ID,Facility Name,State,Hospital Type,Hospital Ownership,Hospital overall rating,Hospital overall rating footnote,Score,Footnote
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,4,,0.99,
010005,MARSHALL MEDICAL CENTERS,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,,1.0,
010006,NORTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,2,,1.01,
010007,MIZELL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,,1.04,
010011,ST. VINCENT'S EAST,AL,Acute Care Hospitals,Voluntary non-profit - Private,3,29,0.96,29
010012,DEKALB REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,2,,0.99,
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,2,,1.02,
010019,HELEN KELLER HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,2,,1.1,
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals,Government - Hospital District or Authority,2,,1.01,
010024,JACKSON HOSPITAL & CLINIC INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,2,,1.02,
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,,0.96,
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Acute Care Hospitals,Government - State,2,,0.97,
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,2,,0.99,
010036,ANDALUSIA HEALTH,AL,Acute Care Hospitals,Proprietary,2,,0.95,
010039,HUNTSVILLE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,,1.03,
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,2,,1.07,
010044,MARION REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,3,,1.07,
010045,FAYETTE MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Other,4,,0.93,
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,3,,0.97,
010049,MEDICAL CENTER ENTERPRISE,AL,Acute Care Hospitals,Proprietary,4,,0.91,
010055,FLOWERS HOSPITAL,AL,Acute Care Hospitals,Proprietary,2,,1.01,
010056,ST VINCENT'S BIRMINGHAM,AL,Acute Care Hospitals,Voluntary non-profit - Private,3,29,0.95,29
010061,HIGHLANDS MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,,0.94,
010065,RUSSELL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,3,,0.95,
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Local,1,,1.03,
010079,ATHENS LIMESTONE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,2,,1.06,
010083,BALDWIN HEALTH,AL,Acute Care Hospitals,Proprietary,4,,0.98,
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,,1.01,
010086,NORTH MISSISSIPPI HEALTH SERVICES - SOUTH MARION,AL,Acute Care Hospitals,Proprietary,4,,1.0,
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,Acute Care Hospitals,Government - State,2,,0.98,
010089,WALKER BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,3,,0.95,
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Acute Care Hospitals,Voluntary non-profit - Church,3,,0.95,
010092,DCH REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,2,,0.96,
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,,0.93,
010100,THOMAS HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,2,,0.93,
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,,1.02,
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Church,3,,1.02,
010104,GRANDVIEW MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,3,,1.01,
010108,PRATTVILLE BAPTIST HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,,0.93,
010112,WHITFIELD REGIONAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,2,,0.85,
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,2,,1.0,
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,Acute Care Hospitals,Government - Hospital District or Authority,3,,1.01,
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,Acute Care Hospitals,Proprietary,2,,0.96,
010125,LAKELAND COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,3,,1.04,
010126,TROY REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Federal,4,,1.01,
010129,NORTH BALDWIN INFIRMARY,AL,Acute Care Hospitals,Voluntary non-profit - Private,3,,0.91,
010130,ST VINCENT'S ST CLAIR,AL,Acute Care Hospitals,Voluntary non-profit - Private,3,29,0.92,29
010131,CRESTWOOD MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,3,,0.99,
010139,BAPTIST HEALTH BROOKWOOD HOSPITAL,AL,Acute Care Hospitals,Proprietary,3,,1.09,
010144,SPRINGHILL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,3,,1.0,
010148,EVERGREEN MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,3,,0.93,
010149,BAPTIST MEDICAL CENTER EAST,AL,Acute Care Hospitals,Government - Hospital District or Authority,4,,0.96,
010158,RUSSELLVILLE HOSPITAL,AL,Acute Care Hospitals,Proprietary,4,,1.31,
